participant, training, transfer, similarity, ntrans
A3L2UB07EZJAMD,aaabaaabaaabaaa,ababbababbababb,1,9
A1U6A617Q95MTZ,aaabaaabaaabaaa,ababbababbababb,4,9
A3FBV53GPOAG8X,aaabaaabaaabaaa,ababbababbababb,2,9
A1X84T4EFW04GZ,aaabaaabaaabaaa,ababbababbababb,2,9
A1X84T4EFW04GZ,aaabaaabaaabaaa,ababbababbababb,2,9
A10DEO061A6L3O,aaabaaabaaabaaa,ababbababbababb,4,9
A2LRC60NMMJHEW,aaabaaabaaabaaa,ababbababbababb,2,9
A2LRC60NMMJHEW,aaabaaabaaabaaa,ababbababbababb,2,9
A38TZK07ON180S,aaabaaabaaabaaa,ababbababbababb,2,9
A3K2VLUT3MU9H2,aaabaaabaaabaaa,ababbababbababb,2,9
A3KVNVHIYT3JI8,aaabaaabaaabaaa,ababbababbababb,4,9
A4IH4CO046EV3,aaabaaabaaabaaa,ababbababbababb,2,9
A1HN4550TIXQBZ,aaabaaabaaabaaa,ababbababbababb,1,9
A12R2U6TBB3OOG,aaabaaabaaabaaa,ababbababbababb,2,9
A12R2U6TBB3OOG,aaabaaabaaabaaa,ababbababbababb,2,9
A19M261KRLO5YZ,bbbbaaaaaaaaaaa,bbbbbababababab,2,6
A109MLAWERUIBG,bbbbaaaaaaaaaaa,bbbbbababababab,1,6
A39YBLQYIUBR76,bbbbaaaaaaaaaaa,bbbbbababababab,1,6
A340UGIDGIF4W6,bbbbaaaaaaaaaaa,bbbbbababababab,2,6
ADGQOL6YC087W,bbbbaaaaaaaaaaa,bbbbbababababab,1,6
AETIZKQNUSBLB,bbbbaaaaaaaaaaa,bbbbbababababab,3,6
AETIZKQNUSBLB,bbbbaaaaaaaaaaa,bbbbbababababab,3,6
A3MD34XEB4H6JF,bbbbaaaaaaaaaaa,bbbbbababababab,1,6
A29HDBGSELFSUY,bbbbaaaaaaaaaaa,bbbbbababababab,1,6
A10DEO061A6L3O,bbbbaaaaaaaaaaa,bbbbbababababab,2,6
A2GAQZAZWV01PU,bbbbaaaaaaaaaaa,bbbbbababababab,4,6
A2YVC1U50H2B4R,bbbbaaaaaaaaaaa,bbbbbababababab,2,6
A32QJF67JMJFKX,bbbbaaaaaaaaaaa,bbbbbababababab,2,6
A1HN4550TIXQBZ,bbbbaaaaaaaaaaa,bbbbbababababab,1,6
A2CHDWKAYZ3P3E,bbbbaaaaaaaaaaa,bbbbbababababab,1,6
A2WGW5Y3ZFBDEC,aaaabababababab,bbaaabbaaabbaaa,3,10
A2WGW5Y3ZFBDEC,aaaabababababab,bbaaabbaaabbaaa,2,10
A109MLAWERUIBG,aaaabababababab,bbaaabbaaabbaaa,2,10
AETIZKQNUSBLB,aaaabababababab,bbaaabbaaabbaaa,2,10
AETIZKQNUSBLB,aaaabababababab,bbaaabbaaabbaaa,2,10
A3L2UB07EZJAMD,aaaabababababab,bbaaabbaaabbaaa,2,10
A3L2UB07EZJAMD,aaaabababababab,bbaaabbaaabbaaa,1,10
A2GAQZAZWV01PU,aaaabababababab,bbaaabbaaabbaaa,2,10
A2GAQZAZWV01PU,aaaabababababab,bbaaabbaaabbaaa,2,10
A1S3KHENQOCCVE,aaaabababababab,bbaaabbaaabbaaa,2,10
