participant, training, transfer, similarity, ntrans
A3MD34XEB4H6JF,babaababaababaa,ababbababbababb,4,2
A38TZK07ON180S,babaababaababaa,ababbababbababb,4,2
A245RS8249R2TA,babaababaababaa,ababbababbababb,1,2
A245RS8249R2TA,babaababaababaa,ababbababbababb,1,2
A2S8ZTPKX3B928,babaababaababaa,ababbababbababb,4,2
A2OVX9UW5WANQE,babaababaababaa,ababbababbababb,4,2
A3843S9LWPDN2K,babaababaababaa,ababbababbababb,2,2
A3843S9LWPDN2K,babaababaababaa,ababbababbababb,5,2
A12R2U6TBB3OOG,babaababaababaa,ababbababbababb,4,2
A1K8QNLYYYX21W,babaababaababaa,ababbababbababb,4,2
A21SIPO89DP66I,bbbbaaaaaaaaaaa,aaaaaabbbbbbbbb,3,6
A2WGW5Y3ZFBDEC,bbbbaaaaaaaaaaa,aaaaaabbbbbbbbb,4,6
A109MLAWERUIBG,bbbbaaaaaaaaaaa,aaaaaabbbbbbbbb,4,6
A39YBLQYIUBR76,bbbbaaaaaaaaaaa,aaaaaabbbbbbbbb,4,6
A2TBXASXZIRNNW,bbbbaaaaaaaaaaa,aaaaaabbbbbbbbb,3,6
A7KLTVEIASF4J,bbbbaaaaaaaaaaa,aaaaaabbbbbbbbb,3,6
A3FJE9AUW0O41D,bbbbaaaaaaaaaaa,aaaaaabbbbbbbbb,1,6
ADGQOL6YC087W,bbbbaaaaaaaaaaa,aaaaaabbbbbbbbb,2,6
A3L2UB07EZJAMD,bbbbaaaaaaaaaaa,aaaaaabbbbbbbbb,4,6
A245RS8249R2TA,bbbbaaaaaaaaaaa,aaaaaabbbbbbbbb,1,6
A2S8ZTPKX3B928,bbbbaaaaaaaaaaa,aaaaaabbbbbbbbb,4,6
A1WOV2JIV5I9VE,bbbbaaaaaaaaaaa,aaaaaabbbbbbbbb,1,6
A3RHGIM99R25Q9,bbbbaaaaaaaaaaa,aaaaaabbbbbbbbb,1,6
A2WCXJZEXXR60A,bbbbaaaaaaaaaaa,aaaaaabbbbbbbbb,2,6
A34VY22YEREOOI,bbbbaaaaaaaaaaa,aaaaaabbbbbbbbb,1,6
A3PC7DYXJW4I2Z,bbbbaaaaaaaaaaa,aaaaaabbbbbbbbb,3,6
A1HN4550TIXQBZ,bbbbaaaaaaaaaaa,aaaaaabbbbbbbbb,5,6
A12R2U6TBB3OOG,bbbbaaaaaaaaaaa,aaaaaabbbbbbbbb,2,6
A2CHDWKAYZ3P3E,bbbbaaaaaaaaaaa,aaaaaabbbbbbbbb,1,6
A1G187YBG0DVMQ,abaabaaabaaaaba,ababbababbababb,1,8
A3QEVFM3UD67BA,abaabaaabaaaaba,ababbababbababb,4,8
A3MD34XEB4H6JF,abaabaaabaaaaba,ababbababbababb,2,8
A21EFJ972J40T6,abaabaaabaaaaba,ababbababbababb,2,8
A1S3KHENQOCCVE,abaabaaabaaaaba,ababbababbababb,2,8
A1S3KHENQOCCVE,abaabaaabaaaaba,ababbababbababb,2,8
A1F1OZ54G177D8,abaabaaabaaaaba,ababbababbababb,3,8
A2S8ZTPKX3B928,abaabaaabaaaaba,ababbababbababb,1,8
A1WOV2JIV5I9VE,abaabaaabaaaaba,ababbababbababb,2,8
AWCO7MG0BHSTQ,abaabaaabaaaaba,ababbababbababb,2,8
A3843S9LWPDN2K,abaabaaabaaaaba,ababbababbababb,2,8
A34VY22YEREOOI,abaabaaabaaaaba,ababbababbababb,1,8
A3PC7DYXJW4I2Z,abaabaaabaaaaba,ababbababbababb,3,8
A19M261KRLO5YZ,babaababaababaa,bbaaabbaaabbaaa,2,12
A21ZMR7O42OSMI,babaababaababaa,bbaaabbaaabbaaa,4,12
A2OTDMCV8CZWML,babaababaababaa,bbaaabbaaabbaaa,4,12
A3QEVFM3UD67BA,babaababaababaa,bbaaabbaaabbaaa,1,12
ADGQOL6YC087W,babaababaababaa,bbaaabbaaabbaaa,2,12
AETIZKQNUSBLB,babaababaababaa,bbaaabbaaabbaaa,2,12
A3FBV53GPOAG8X,babaababaababaa,bbaaabbaaabbaaa,4,12
A10DEO061A6L3O,babaababaababaa,bbaaabbaaabbaaa,5,12
A21EFJ972J40T6,babaababaababaa,bbaaabbaaabbaaa,4,12
AA7ASGQEOMKEZ,babaababaababaa,bbaaabbaaabbaaa,3,12
A38TZK07ON180S,babaababaababaa,bbaaabbaaabbaaa,4,12
A2S8ZTPKX3B928,babaababaababaa,bbaaabbaaabbaaa,4,12
A3RHGIM99R25Q9,babaababaababaa,bbaaabbaaabbaaa,4,12
A1K8QNLYYYX21W,babaababaababaa,bbaaabbaaabbaaa,4,12
A1MYDAL453CN5Q,babaababaababaa,baabaaabaaaabaa,4,11
A21SIPO89DP66I,babaababaababaa,baabaaabaaaabaa,1,11
A3RS7UCO7CQ74R,babaababaababaa,baabaaabaaaabaa,4,11
A3W24IE6P9O302,babaababaababaa,baabaaabaaaabaa,4,11
A21ZMR7O42OSMI,babaababaababaa,baabaaabaaaabaa,4,11
A340UGIDGIF4W6,babaababaababaa,baabaaabaaaabaa,2,11
A3FJE9AUW0O41D,babaababaababaa,baabaaabaaaabaa,4,11
A3FBV53GPOAG8X,babaababaababaa,baabaaabaaaabaa,4,11
A1DDBGQDMZZ1VW,babaababaababaa,baabaaabaaaabaa,3,11
AA7ASGQEOMKEZ,babaababaababaa,baabaaabaaaabaa,3,11
A2DXSHR0ZWHIYD,babaababaababaa,baabaaabaaaabaa,3,11
A2YVC1U50H2B4R,babaababaababaa,baabaaabaaaabaa,4,11
A2OVX9UW5WANQE,babaababaababaa,baabaaabaaaabaa,4,11
A34VY22YEREOOI,babaababaababaa,baabaaabaaaabaa,2,11
A12R2U6TBB3OOG,babaababaababaa,baabaaabaaaabaa,4,11
A19M261KRLO5YZ,aaaabababababab,aabaabaabaabaab,2,6
A3RS7UCO7CQ74R,aaaabababababab,aabaabaabaabaab,3,6
A3RS7UCO7CQ74R,aaaabababababab,aabaabaabaabaab,4,6
A109MLAWERUIBG,aaaabababababab,aabaabaabaabaab,2,6
A21ZMR7O42OSMI,aaaabababababab,aabaabaabaabaab,4,6
A7KLTVEIASF4J,aaaabababababab,aabaabaabaabaab,2,6
A10DEO061A6L3O,aaaabababababab,aabaabaabaabaab,4,6
A8TK3JACM5EM,aaaabababababab,aabaabaabaabaab,4,6
A3PC7DYXJW4I2Z,aaaabababababab,aabaabaabaabaab,4,6
A1OZPLHNIU1519,babaababaababaa,bbbbbababababab,4,12
A7KLTVEIASF4J,babaababaababaa,bbbbbababababab,1,12
A2OTDMCV8CZWML,babaababaababaa,bbbbbababababab,2,12
A3FAH5S2RGZ5AK,babaababaababaa,bbbbbababababab,1,12
A1S3KHENQOCCVE,babaababaababaa,bbbbbababababab,2,12
A245RS8249R2TA,babaababaababaa,bbbbbababababab,1,12
A2DXSHR0ZWHIYD,babaababaababaa,bbbbbababababab,2,12
A2YVC1U50H2B4R,babaababaababaa,bbbbbababababab,2,12
A2YVC1U50H2B4R,babaababaababaa,bbbbbababababab,1,12
A2WCXJZEXXR60A,babaababaababaa,bbbbbababababab,1,12
A32QJF67JMJFKX,babaababaababaa,bbbbbababababab,2,12
