consistent, condition, timestep, subject, correct, which
0, ababbababbababb, 12, 8, 1, 1
0, aaaabababababab, 13, 8, 1, 0
0, ababbababbababb, 13, 8, 1, 1
0, aaaabababababab, 14, 8, 1, 0
0, ababbababbababb, 14, 8, 0, 1
0, aaaabababababab, 0, 9, 1, 0
0, ababbababbababb, 0, 9, 0, 1
0, aaaabababababab, 1, 9, 1, 0
0, ababbababbababb, 1, 9, 0, 1
0, aaaabababababab, 2, 9, 1, 0
0, ababbababbababb, 2, 9, 1, 1
0, aaaabababababab, 3, 9, 1, 0
0, ababbababbababb, 3, 9, 1, 1
0, aaaabababababab, 4, 9, 0, 0
0, ababbababbababb, 4, 9, 0, 1
0, aaaabababababab, 5, 9, 1, 0
0, ababbababbababb, 5, 9, 1, 1
0, aaaabababababab, 6, 9, 0, 0
0, ababbababbababb, 6, 9, 1, 1
0, aaaabababababab, 7, 9, 1, 0
0, ababbababbababb, 7, 9, 0, 1
0, aaaabababababab, 8, 9, 1, 0
0, ababbababbababb, 8, 9, 0, 1
0, aaaabababababab, 9, 9, 1, 0
0, ababbababbababb, 9, 9, 0, 1
0, aaaabababababab, 10, 9, 1, 0
0, ababbababbababb, 10, 9, 1, 1
0, aaaabababababab, 11, 9, 1, 0
0, ababbababbababb, 11, 9, 1, 1
0, aaaabababababab, 12, 9, 1, 0
0, ababbababbababb, 12, 9, 1, 1
0, aaaabababababab, 13, 9, 1, 0
0, ababbababbababb, 13, 9, 1, 1
0, aaaabababababab, 14, 9, 1, 0
0, ababbababbababb, 14, 9, 1, 1
0, bbaaabbaaabbaaa, 0, 10, 1, 0
0, abaabaaabaaaaba, 0, 10, 1, 1
0, bbaaabbaaabbaaa, 1, 10, 0, 0
0, abaabaaabaaaaba, 1, 10, 0, 1
0, bbaaabbaaabbaaa, 2, 10, 1, 0
0, abaabaaabaaaaba, 2, 10, 0, 1
0, bbaaabbaaabbaaa, 3, 10, 0, 0
0, abaabaaabaaaaba, 3, 10, 0, 1
0, bbaaabbaaabbaaa, 4, 10, 0, 0
0, abaabaaabaaaaba, 4, 10, 1, 1
0, bbaaabbaaabbaaa, 5, 10, 1, 0
0, abaabaaabaaaaba, 5, 10, 0, 1
0, bbaaabbaaabbaaa, 6, 10, 0, 0
0, abaabaaabaaaaba, 6, 10, 1, 1
0, bbaaabbaaabbaaa, 7, 10, 0, 0
0, abaabaaabaaaaba, 7, 10, 0, 1
0, bbaaabbaaabbaaa, 8, 10, 1, 0
0, abaabaaabaaaaba, 8, 10, 1, 1
0, bbaaabbaaabbaaa, 9, 10, 1, 0
0, abaabaaabaaaaba, 9, 10, 0, 1
0, bbaaabbaaabbaaa, 10, 10, 1, 0
0, abaabaaabaaaaba, 10, 10, 1, 1
0, bbaaabbaaabbaaa, 11, 10, 1, 0
0, abaabaaabaaaaba, 11, 10, 1, 1
0, bbaaabbaaabbaaa, 12, 10, 0, 0
0, abaabaaabaaaaba, 12, 10, 0, 1
0, bbaaabbaaabbaaa, 13, 10, 0, 0
0, abaabaaabaaaaba, 13, 10, 1, 1
0, bbaaabbaaabbaaa, 14, 10, 1, 0
0, abaabaaabaaaaba, 14, 10, 0, 1
0, bbaaabbaaabbaaa, 0, 11, 1, 0
0, abaabaaabaaaaba, 0, 11, 0, 1
0, bbaaabbaaabbaaa, 1, 11, 0, 0
0, abaabaaabaaaaba, 1, 11, 0, 1
0, bbaaabbaaabbaaa, 2, 11, 0, 0
0, abaabaaabaaaaba, 2, 11, 1, 1
0, bbaaabbaaabbaaa, 3, 11, 0, 0
0, abaabaaabaaaaba, 3, 11, 0, 1
0, bbaaabbaaabbaaa, 4, 11, 0, 0
0, abaabaaabaaaaba, 4, 11, 1, 1
0, bbaaabbaaabbaaa, 5, 11, 0, 0
0, abaabaaabaaaaba, 5, 11, 1, 1
0, bbaaabbaaabbaaa, 6, 11, 0, 0
0, abaabaaabaaaaba, 6, 11, 1, 1
0, bbaaabbaaabbaaa, 7, 11, 1, 0
0, abaabaaabaaaaba, 7, 11, 1, 1
0, bbaaabbaaabbaaa, 8, 11, 1, 0
0, abaabaaabaaaaba, 8, 11, 1, 1
0, bbaaabbaaabbaaa, 9, 11, 1, 0
